Current Loan Amount,Term,Credit Score,Annual Income,Home Ownership,Purpose,Monthly Debt,Years of Credit History,Months since last delinquent,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens,Employment Years
611314.0,Short Term,747.0,2074116.0,Home Mortgage,Debt Consolidation,42000.83,21.8,,9.0,0.0,621908.0,1058970.0,0.0,0.0,10.0
266662.0,Short Term,734.0,1919190.0,Home Mortgage,Debt Consolidation,36624.4,19.4,,11.0,0.0,679573.0,904442.0,0.0,0.0,10.0
153494.0,Short Term,709.0,871112.0,Rent,Debt Consolidation,8391.73,12.5,10.0,10.0,0.0,38532.0,388036.0,0.0,0.0,2.0
176242.0,Short Term,727.0,780083.0,Rent,Debt Consolidation,16771.87,16.5,27.0,16.0,1.0,156940.0,531322.0,1.0,0.0,10.0
321992.0,Short Term,744.0,1761148.0,Home Mortgage,Debt Consolidation,39478.77,26.0,44.0,14.0,0.0,359765.0,468072.0,0.0,0.0,10.0
202928.0,Short Term,741.0,760380.0,Rent,Debt Consolidation,6526.69,13.8,,6.0,0.0,258647.0,476872.0,0.0,0.0,1.0
621786.0,Long Term,733.0,1783606.0,Home Mortgage,Debt Consolidation,36563.98,15.3,,42.0,0.0,281599.0,1449162.0,0.0,0.0,10.0
266794.0,Long Term,,,Own Home,Debt Consolidation,12336.89,5.8,,9.0,0.0,233206.0,342232.0,0.0,0.0,0.0
202466.0,Short Term,736.0,1068617.0,Rent,Debt Consolidation,18745.21,20.5,,2.0,0.0,0.0,0.0,0.0,0.0,5.0
266288.0,Long Term,683.0,2031518.0,Rent,Debt Consolidation,12443.1,24.4,56.0,8.0,2.0,31445.0,251130.0,2.0,0.0,2.0
121110.0,Short Term,,,Rent,Debt Consolidation,10749.44,19.2,52.0,4.0,0.0,102087.0,198330.0,0.0,0.0,0.0
258104.0,Short Term,723.0,1284514.0,Rent,Debt Consolidation,6368.99,14.6,64.0,12.0,0.0,128402.0,266904.0,0.0,0.0,7.0
161722.0,Short Term,680.0,504374.0,Rent,Other,6094.63,9.5,,13.0,0.0,167903.0,388828.0,0.0,0.0,7.0
753016.0,Long Term,,,Home Mortgage,Debt Consolidation,9627.49,21.7,21.0,9.0,0.0,384522.0,657646.0,0.0,0.0,5.0
444664.0,Short Term,,,Rent,Debt Consolidation,22817.86,17.9,8.0,25.0,0.0,318953.0,971872.0,0.0,0.0,5.0
172282.0,Short Term,696.0,669560.0,Home Mortgage,Debt Consolidation,17966.78,18.2,,16.0,0.0,431490.0,999262.0,0.0,0.0,3.0
275440.0,Short Term,729.0,1236976.0,Rent,Debt Consolidation,21647.08,35.8,,13.0,0.0,151088.0,264242.0,0.0,0.0,6.0
218834.0,Short Term,742.0,1077262.0,Own Home,Home Improvements,19390.64,24.5,29.0,37.0,0.0,212800.0,502876.0,0.0,0.0,3.0
,Short Term,715.0,442339.0,Rent,Debt Consolidation,14007.18,17.0,25.0,14.0,0.0,65474.0,284966.0,0.0,0.0,0.0
,Long Term,715.0,694526.0,Rent,Debt Consolidation,4358.22,17.3,47.0,5.0,0.0,137332.0,272734.0,0.0,0.0,8.0
346610.0,Short Term,744.0,2245116.0,Home Mortgage,Debt Consolidation,24134.94,17.6,68.0,14.0,0.0,729695.0,1307922.0,0.0,0.0,2.0
,Short Term,747.0,1394676.0,Home Mortgage,Other,5834.33,31.9,,7.0,0.0,164350.0,569778.0,0.0,0.0,5.0
219648.0,Long Term,722.0,682898.0,Home Mortgage,Debt Consolidation,18893.79,15.5,,8.0,0.0,347396.0,553300.0,0.0,0.0,10.0
334620.0,Short Term,740.0,963300.0,Home Mortgage,Debt Consolidation,16536.65,16.4,55.0,17.0,0.0,330581.0,843128.0,0.0,0.0,10.0
219868.0,Short Term,736.0,683582.0,Own Home,Debt Consolidation,9057.49,9.6,,8.0,0.0,121467.0,215380.0,0.0,0.0,6.0
222816.0,Long Term,708.0,990185.0,Home Mortgage,Debt Consolidation,6031.93,17.5,,8.0,1.0,125020.0,343860.0,1.0,0.0,4.0
108416.0,Short Term,,,Rent,Debt Consolidation,41882.46,20.4,,11.0,0.0,827051.0,1003816.0,0.0,0.0,10.0
108152.0,Short Term,705.0,747156.0,Rent,Business Loan,20235.38,19.9,15.0,14.0,0.0,174344.0,348062.0,0.0,0.0,4.0
174724.0,Short Term,,,Rent,Debt Consolidation,11341.29,8.2,,4.0,0.0,85633.0,126632.0,0.0,0.0,5.0
404008.0,Long Term,,,Home Mortgage,Debt Consolidation,42159.86,15.9,,16.0,0.0,684950.0,1054636.0,0.0,0.0,6.0
360228.0,Short Term,740.0,2138906.0,Home Mortgage,Debt Consolidation,27984.15,15.5,18.0,8.0,0.0,164008.0,225280.0,0.0,0.0,10.0
218724.0,Short Term,,,Home Mortgage,Take A Trip,4967.36,11.0,6.0,7.0,0.0,16511.0,108064.0,0.0,0.0,0.0
441012.0,Short Term,738.0,979716.0,Rent,Debt Consolidation,12899.67,27.3,,11.0,0.0,380228.0,608938.0,0.0,0.0,10.0
337370.0,Long Term,717.0,1146004.0,Rent,Debt Consolidation,14802.33,21.0,32.0,9.0,0.0,256139.0,423104.0,0.0,0.0,1.0
765688.0,Long Term,706.0,5951484.0,Rent,Small Business,61498.63,22.4,,13.0,0.0,549100.0,1464980.0,0.0,0.0,3.0
468908.0,Long Term,647.0,1833842.0,Rent,Other,5898.93,14.4,,19.0,1.0,183863.0,809490.0,1.0,0.0,8.0
219428.0,Short Term,712.0,1301671.0,Rent,Debt Consolidation,22237.03,15.6,,9.0,0.0,458679.0,624096.0,0.0,0.0,
574904.0,Short Term,706.0,1306592.0,Rent,Other,8078.99,14.0,,4.0,0.0,1596.0,306196.0,0.0,0.0,9.0
401192.0,Short Term,704.0,1539912.0,Rent,Debt Consolidation,27500.41,22.0,,18.0,0.0,423092.0,769054.0,0.0,0.0,10.0
257444.0,Short Term,736.0,648508.0,Rent,Debt Consolidation,5944.53,17.5,46.0,10.0,0.0,204516.0,621566.0,0.0,0.0,10.0
309694.0,Long Term,,,Own Home,Debt Consolidation,23473.17,26.0,38.0,10.0,0.0,402059.0,650188.0,0.0,0.0,10.0
214258.0,Short Term,,,Rent,Debt Consolidation,7207.46,12.8,69.0,10.0,1.0,209361.0,338580.0,0.0,0.0,1.0
325754.0,Short Term,,,Home Mortgage,Debt Consolidation,14301.3,25.0,13.0,11.0,0.0,165186.0,466532.0,0.0,0.0,4.0
651354.0,Short Term,,,Home Mortgage,Home Improvements,32314.25,19.1,37.0,21.0,0.0,356687.0,1868768.0,0.0,0.0,10.0
262108.0,Short Term,733.0,855342.0,Rent,Debt Consolidation,9194.86,22.8,,5.0,0.0,110884.0,224840.0,0.0,0.0,7.0
310376.0,Short Term,,,Rent,Debt Consolidation,5101.12,8.5,,10.0,0.0,126179.0,241890.0,0.0,0.0,2.0
429616.0,Short Term,,,Home Mortgage,Debt Consolidation,21998.58,22.3,25.0,12.0,0.0,321898.0,847066.0,0.0,0.0,10.0
414744.0,Short Term,706.0,1164225.0,Rent,Debt Consolidation,14746.66,10.5,,17.0,0.0,258172.0,797170.0,0.0,0.0,10.0
654126.0,Long Term,646.0,2504504.0,Home Mortgage,Other,14818.48,31.9,11.0,7.0,0.0,130264.0,187594.0,0.0,0.0,9.0
539990.0,Long Term,682.0,1790807.0,Home Mortgage,Debt Consolidation,24026.64,17.3,53.0,13.0,1.0,81358.0,382910.0,1.0,0.0,2.0
531476.0,Short Term,,,Home Mortgage,Debt Consolidation,30122.6,26.4,,26.0,0.0,658559.0,3272720.0,0.0,0.0,10.0
